,ticker,dy,MaisRetornoPrecoPago,Oportunidade,ValoRemuneracao_3anos,preco,ultimoDividendo,pVp,liquidezDiaria,nCotistas,valorPatrimonial,percentualCaixa,dividendos3anos,valorCora3anos,patrimonio,gestao,nCotas
6,ALZR11,8.2,0.6901455579722269,1.0421,7.789999999999999,119.54,0.825,1.12,1638772.18,148351.0,106.95,21.34,10.04,-2.25,1054548638.6,Ativa,9860406
25,BBRC11,12.17,0.9759889445500085,1.0604,1.96,115.78,1.13,1.08,147023.77,9456.0,107.25,5.24,6.95,-4.99,170528455.71,Passiva,1590000
27,BCIA11,9.24,0.8057635794862072,0.9226,5.739999999999999,105.49,0.85,0.98,671477.5,20209.0,107.13,0.51,8.28,-2.54,398417700.62,Ativa,3719038
42,BNFS11,14.21,1.044082648742843,1.2349,7.51,120.51,1.258224,1.31,175404.18,5119.0,91.89,6.3,8.32,-0.81,64321249.39,Ativa,700000
47,BRCO11,8.16,0.792,0.8907,14.93,125.0,0.99,1.04,3564042.0,119131.0,120.6,2.11,11.88,3.05,1782268645.73,Ativa,14778781
63,BTLG11,8.66,0.7315429781499663,1.0370000000000001,1.2999999999999998,103.89,0.76,1.05,7631253.68,260030.0,99.06,30.16,3.36,-2.06,2822378074.38,Ativa,28492634
71,CACR11,17.12,1.4502694757471828,0.9651,4.49,102.05,1.48,1.01,1504116.45,18870.0,100.82,24.96,6.36,-1.87,385529745.03,,3823767
127,FATN11,10.83,0.9159482758620688,0.8984000000000001,3.16,92.8,0.85,0.93,767817.23,3720.0,99.28,1.83,6.67,-3.51,260096558.61,Ativa,2619718
129,FCFL11,8.46,0.7444598337950139,0.9299,6.01,115.52,0.86,0.99,219048.41,3409.0,117.08,0.7,6.83,-0.82,406736469.28,Ativa,3474010
131,FIGS11,8.85,0.7364975450081833,0.6245,17.55,61.1,0.45,0.8,146309.05,14685.0,76.28,0.76,20.92,-3.37,217410567.67,Passiva,2850000
156,GGRC11,10.23,0.7922535211267605,0.9912,0.8799999999999999,113.6,0.9,1.0,1510583.05,106483.0,113.34,10.91,7.59,-6.71,1023607101.41,Ativa,9031191
180,HGCR11,12.91,0.9561143512764125,0.93,10.0,104.59,1.0,1.03,3555454.77,104345.0,101.88,2.63,9.12,0.88,1570752046.51,Ativa,15418106
181,HGFF11,9.15,0.7952738014087708,0.897,6.300000000000001,88.02,0.7,0.96,771037.5,16406.0,91.67,6.4,8.06,-1.76,262518545.42,Ativa,2863597
187,HGRU11,8.88,1.6773628938156357,0.9721000000000001,13.79,137.12,2.3,1.11,3759936.82,207981.0,123.67,3.83,11.92,1.87,2276269694.24,Ativa,18406458
197,HSLG11,9.02,0.7630439265828005,0.8955,4.449999999999999,96.98,0.74,0.94,1059483.82,35751.0,103.68,3.84,7.93,-3.48,1312564195.98,Ativa,12660067
198,HSML11,9.24,0.792905581637976,0.8188,20.12,95.85,0.76,1.02,3364426.82,166127.0,94.34,3.88,20.14,-0.02,1488817354.39,Ativa,15780613
200,HTMX11,15.24,1.9902525839398204,0.8768,38.32,163.51,3.254262,1.26,2436177.23,30859.0,129.55,10.71,28.96,9.36,194881334.57,Ativa,1504334
211,ITIT11,9.11,0.8111533586818758,0.9038,2.619999999999999,78.9,0.64,0.93,222288.59,9808.0,84.55,1.51,8.95,-6.33,76138418.95,Passiva,900494
218,JPPA11,16.0,1.1150423501661844,0.9002,4.98,93.27,1.04,0.95,198887.09,9137.0,97.79,3.81,6.45,-1.47,88409037.69,Ativa,904050
226,KFOF11,9.27,0.9961315280464216,0.9703,10.97,103.4,1.03,1.08,873550.14,19232.0,95.67,5.21,11.17,-0.2,433689941.45,Ativa,4533315
230,KNCR11,12.97,0.9786821705426355,0.6164000000000001,40.36,103.2,1.01,1.02,9431601.68,304408.0,100.8,4.8,35.02,5.34,5755605712.78,Ativa,57097087
243,LGCP11,8.59,0.7982261640798226,0.8564,2.3599999999999994,90.2,0.72,0.88,615329.82,15633.0,102.39,1.23,5.77,-3.41,361396706.56,Ativa,3529735
252,LVBI11,8.01,0.7539582809751194,0.915,10.5,119.37,0.9,1.02,5238908.36,91937.0,117.26,14.53,9.95,0.55,1670163552.38,Ativa,14243672
